Thread,Schedule,Run,Time
1,static,1,205.667230
1,static,2,206.246652
1,static,3,224.872223
1,static,4,281.265751
1,static,5,283.253593
2,static,1,188.786735
2,static,2,188.097391
2,static,3,168.556290
2,static,4,165.345966
2,static,5,161.833675
4,static,1,128.783453
4,static,2,128.513610
4,static,3,128.781905
4,static,4,129.003470
4,static,5,128.227253
8,static,1,113.644774
8,static,2,112.501195
8,static,3,113.752055
8,static,4,102.495630
8,static,5,99.916002
12,static,1,97.665348
12,static,2,96.311027
12,static,3,98.659178
12,static,4,96.265276
12,static,5,96.558427
16,static,1,86.773159
16,static,2,84.949644
16,static,3,84.989357
16,static,4,85.769272
16,static,5,85.853716
20,static,1,85.027215
20,static,2,85.688031
20,static,3,85.076717
20,static,4,85.108993
20,static,5,84.594744
24,static,1,84.929302
24,static,2,84.589026
24,static,3,84.556554
24,static,4,84.385649
24,static,5,84.108427
28,static,1,84.044738
28,static,2,84.315633
28,static,3,84.802335
28,static,4,83.883156
28,static,5,83.910136
32,static,1,83.902456
32,static,2,83.637348
32,static,3,83.853188
32,static,4,83.630172
32,static,5,84.179111
1,dynamic,1,207.901477
1,dynamic,2,207.216687
1,dynamic,3,207.392729
1,dynamic,4,215.685162
1,dynamic,5,207.304841
2,dynamic,1,121.457481
2,dynamic,2,120.187075
2,dynamic,3,121.161545
2,dynamic,4,119.811706
2,dynamic,5,120.099362
4,dynamic,1,104.400161
4,dynamic,2,104.430771
4,dynamic,3,104.501880
4,dynamic,4,104.716983
4,dynamic,5,105.697305
8,dynamic,1,90.522728
8,dynamic,2,90.350756
8,dynamic,3,90.055532
8,dynamic,4,90.709570
8,dynamic,5,90.472441
12,dynamic,1,82.066627
12,dynamic,2,82.255001
12,dynamic,3,81.792607
12,dynamic,4,82.150003
12,dynamic,5,81.907754
16,dynamic,1,82.344661
16,dynamic,2,82.395195
16,dynamic,3,82.066214
16,dynamic,4,81.765581
16,dynamic,5,82.151187
20,dynamic,1,82.092738
20,dynamic,2,82.260840
20,dynamic,3,81.728834
20,dynamic,4,82.134631
20,dynamic,5,81.954901
24,dynamic,1,82.126347
24,dynamic,2,82.282814
24,dynamic,3,82.417008
24,dynamic,4,82.230235
24,dynamic,5,82.356654
28,dynamic,1,83.229393
28,dynamic,2,82.548634
28,dynamic,3,82.719327
28,dynamic,4,81.972486
28,dynamic,5,82.221383
32,dynamic,1,82.833637
32,dynamic,2,89.665434
32,dynamic,3,83.088740
32,dynamic,4,82.666344
32,dynamic,5,82.888368
1,guided,1,206.840292
1,guided,2,206.477745
1,guided,3,206.581838
1,guided,4,206.775610
1,guided,5,206.438880
2,guided,1,120.285792
2,guided,2,119.999265
2,guided,3,120.803908
2,guided,4,120.258745
2,guided,5,120.273866
4,guided,1,108.819327
4,guided,2,108.897755
4,guided,3,108.870239
4,guided,4,109.019458
4,guided,5,108.920070
8,guided,1,94.747343
8,guided,2,94.730223
8,guided,3,95.668899
8,guided,4,94.336532
8,guided,5,95.261735
12,guided,1,90.296694
12,guided,2,89.771758
12,guided,3,91.812750
12,guided,4,91.168729
12,guided,5,90.774411
16,guided,1,86.551439
16,guided,2,85.086683
16,guided,3,84.901443
16,guided,4,86.210418
16,guided,5,85.274450
20,guided,1,84.325790
20,guided,2,84.460428
20,guided,3,84.538838
20,guided,4,84.945322
20,guided,5,83.922636
24,guided,1,84.305309
24,guided,2,84.665754
24,guided,3,84.894231
24,guided,4,84.117461
24,guided,5,83.898610
28,guided,1,83.494206
28,guided,2,84.051561
28,guided,3,83.973434
28,guided,4,82.624480
28,guided,5,82.790483
32,guided,1,84.226453
32,guided,2,83.366559
32,guided,3,83.268216
32,guided,4,83.426179
32,guided,5,83.690230
